chunk_size,credit_window,layers,chunks_per_layer,total_mb,throughput_mbps,avg_ms,p50_ms,p99_ms
65536,4,8,4,2,286.2,0.1,0.2,0.3
65536,4,32,4,8,309.1,0.1,0.2,0.2
65536,8,8,4,2,295.3,0.1,0.2,0.3
65536,8,32,4,8,306.5,0.1,0.2,0.2
65536,16,8,4,2,288.7,0.1,0.2,0.3
65536,16,32,4,8,307.0,0.1,0.2,0.3
65536,32,8,4,2,290.9,0.1,0.2,0.4
65536,32,32,4,8,308.1,0.1,0.2,0.2
262144,4,8,4,8,713.1,0.2,0.2,0.4
262144,4,32,4,32,1024.8,0.1,0.2,0.4
262144,8,8,4,8,683.4,0.2,0.2,0.4
262144,8,32,4,32,865.7,0.2,0.2,0.4
262144,16,8,4,8,617.0,0.3,0.4,0.6
262144,16,32,4,32,929.1,0.2,0.2,0.4
262144,32,8,4,8,860.8,0.2,0.2,0.4
262144,32,32,4,32,822.7,0.2,0.2,0.6
1048576,4,8,4,32,1018.4,0.5,0.8,1.2
1048576,4,32,4,128,1113.7,0.5,0.8,1.2
1048576,8,8,4,32,988.6,0.6,0.9,1.2
1048576,8,32,4,128,1036.9,0.5,0.8,1.4
1048576,16,8,4,32,1066.1,0.6,0.8,1.3
1048576,16,32,4,128,971.9,0.6,0.8,1.4
1048576,32,8,4,32,1015.7,0.7,0.8,1.4
1048576,32,32,4,128,1062.9,0.6,0.8,1.4
4194304,4,8,4,128,1183.4,1.8,3.2,4.0
4194304,4,32,4,512,1165.3,1.8,3.2,5.2
4194304,8,8,4,128,1158.8,2.0,3.2,5.8
4194304,8,32,4,512,1179.9,1.8,3.1,4.9
4194304,16,8,4,128,1180.1,2.3,3.3,3.9
4194304,16,32,4,512,1190.9,1.9,3.2,4.6
4194304,32,8,4,128,1207.9,2.2,3.2,3.6
4194304,32,32,4,512,1196.1,2.0,3.2,3.7
